Place of Origin,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,country_code
MIDDLE EAST & NORTH AFRICA,"38,738","47,963","62,120","77,049","92,618","103,307","108,227","100,014","91,375","81,126",
MIDDLE EAST,"33,797","42,543","56,664","71,170","86,372","96,615","100,926","92,470","84,107","74,165",
Bahrain,415,409,438,459,467,474,469,475,451,422,048
Iran,"4,731","5,626","6,982","8,744","10,194","11,338","12,269","12,643","12,783","12,142",364
Iraq,423,616,809,"1,074","1,491","1,727","1,901","1,698","1,438","1,237",368
Israel,"2,778","2,701","2,490","2,430","2,457","2,370","2,343","2,393","2,327","2,392",376
Jordan,"1,995","2,002","2,062","2,109","2,148","2,215","2,330","2,312","2,420","2,435",400
Kuwait,"2,442","2,998","3,722","5,115","7,288","9,034","9,772","9,825","10,190","9,195",414
Lebanon,"1,608","1,462","1,350","1,266","1,367","1,416","1,486","1,556","1,633","1,672",422
Oman,286,313,538,980,"1,504","2,200","2,856","2,876","3,097","2,963",512
Palestinian Territories,304,331,331,319,429,458,468,423,480,468,
Qatar,663,716,979,994,"1,191","1,252","1,443","1,420","1,127",834,634
Saudi Arabia,"15,810","22,704","34,139","44,566","53,919","59,945","61,287","52,611","44,432","37,080",682
Syria,424,526,458,505,693,792,783,827,726,566,
United Arab Emirates,"1,653","1,871","2,097","2,256","2,784","2,878","2,920","2,753","2,486","2,361",784
Yemen,265,268,269,353,440,516,599,658,517,398,887
"Middle East, Unspecified",0,0,0,0,0,0,0,0,0,0,
North Africa,"4,941","5,420","5,456","5,879","6,246","6,692","7,301","7,544","7,268","6,961",
Algeria,178,158,177,176,173,175,158,192,212,238,012
Egypt,"2,271","2,181","2,201","2,608","2,832","2,974","3,442","3,715","3,701","3,675",818
Libya,"1,064","1,494","1,328","1,343","1,379","1,578","1,514","1,311","1,064",884,434
Morocco,"1,120","1,201","1,305","1,293","1,324","1,373","1,495","1,634","1,563","1,461",504
Tunisia,308,386,445,459,538,592,692,692,728,703,788
Western Sahara,,,,,,,,,,,732
"North Africa, Unspecified",0,0,0,0,0,0,0,0,0,0,
NORTH AMERICA,"28,145","27,546","26,821","27,357","28,304","27,240","26,973","27,065","25,909","26,122",
Canada,"28,145","27,546","26,821","27,357","28,304","27,240","26,973","27,065","25,909","26,122",124
OCEANIA,"5,107","5,610","5,697","6,104","6,292","6,471","6,917","7,222","7,372","7,542",
Australia,"3,296","3,777","3,848","4,121","4,377","4,511","4,752","4,933","4,908","4,930",036
Cook Islands,9,4,6,7,5,2,5,0,5,17,184
Fiji,157,138,122,136,124,89,111,100,109,98,242
French Polynesia,28,30,42,37,28,23,31,30,30,60,258
Kiribati,31,31,48,70,84,41,53,64,58,91,296
Marshall Islands,51,52,39,42,13,17,18,10,22,16,584
Micronesia,115,131,98,88,35,39,22,28,38,44,
Nauru,2,11,7,1,6,9,0,1,1,1,520
New Caledonia,12,13,8,7,9,7,2,5,6,4,540
